"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"A. FANTINELL & CIA LTDA. - ME";"O SORVETÃO";"78.725.157/0001-71";"Sociedade Empresária";"08/02/1985";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";85892000;"PR";"Santa Helena";"Santa Helena";"AV. BRASIL, 1511 - CENTRO ";"(45) 3268-2320";"(45) 3268-2320";"";"";"";"18.030923.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A. P. SILVA LANCHONETE E CHURRASCARIA";"FOGÃO À LENHA";"02.789.110/0001-00";"Sociedade Empresária";"18/09/1998";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28300000;"RJ";"Itaperuna";"Itaperuna";"AV. CEL. JOSÉ BASTOS, 1092";"(22) 3824-3999";"";"";"";"";"19.030955.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A.BERTOLOSSI HIRATA RESTAURANTE ME";"RESTAURANTE MEU XODO";"05.349.625/0001-87";"Sociedade Empresária";"01/11/2002";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28930000;"RJ";"Arraial do Cabo";"Arraial do Cabo";"RUA EPITÁSSIO PESSOA 126";"(22) 2622-5948";"";"";"";"";"19.030045.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Espanhol,Japonês"")"
"A.V DE MESQUITA RESTAURANTE";"RESTAURANTE E PIZZARIA CAJUINA";"10.309.146/0001-77";"Sociedade Empresária";"15/10/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";64001970;"PI";"Teresina";"Centro";"AV. DOM SEVERINO 3091";"(86) 3232-5704";"(86) 3228-9300";"";"";"";"17.031933.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"AÇAI CAFE - BEACH POINT LTDA";"AÇAI CAFE - BEACH POINT LTDA";"11.229.307/0001-85";"Sociedade Empresária";"10/11/2009";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";58045010;"PB";"João Pessoa";"Cabo Branco";"AV. CABO BRANCO,1686";"(83) 3226-2432";"(83) 3226-2432";"tambaurentacar@yahoo.com.br";"";"";"15.032413.15.0001-1";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;"("""")"
"ADEMIR DEBIASI";"RESTAURANTE DEL NONO PIERO";"09.913.173/0001-75";"Sociedade Empresária";"09/07/2008";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";93260060;"RS";"Esteio";"Centro";"RUA GARIBALDI  117";"(51) 3459-9624";"";"";"";"";"23.030980.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ADL COMÉRCIO DE ALIMENTOS LTDA";"ARMAZÉM DONA LUCINHA";"07.522.875/0001-00";"Cooperativa";"03/08/2005";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";30110931;"MG";"Belo Horizonte";"Funcionários";"AV. DO CONTORNO, 6283 - LJ. 06";"(31) 3281-9526";"(XX) 31327-3286";"";"";"WWW.ARMAZEMDONALUCINHA.COM.BR";"11.030950.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ADRIANE KRONHARDT - BUFFET E FESTAS LTDA";"BUFFET E FESTAS";"08.250.983/0001-26";"Sociedade Empresária";"17/08/2006";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";94010160;"RS";"Gravataí";"Centro";"RUA CONEGO PEDRO WAGNER, 590  -  3º ANDAR";"(51) 3484-4205";"(51) 3484-4205";"eventosadriane@gmail.com.br";"";"WWW.akespacogastronomico.com.br";"23.030520.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";500;"(""Inglês,Espanhol"")"
"AGENOR NOGUEIRA E CIA LTDA - EPP";"CHOPPTIME";"04.740.509/0001-21";"Sociedade Empresária";"02/10/2001";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";14804300;"SP";"Araraquara";"Recreio Campestre Idanorma";"AVENIDA ALBERTO BENASSI, 2270";"(16) 3335-8040";"(16) 3335-8040";"";"";"WWW.CHOPPTIME.COM.BR";"26.030042.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"ALEX MARIANO DE MENEZES ME";"CHAPEU DE SOL";"02.548.180/0001-76";"Sociedade Empresária";"01/06/1998";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";73760000;"GO";"São João D'Aliança";"São João D'Aliança";"AV JOAQUIM ROBERTO DOS SANTOS, QD 11 A, LOTE 4";"(62) 3438-1521";"(62) 3438-1202";"edacon@gmail.com";"";"WWW.CHAPEUDESOLRESTAURANTE.COM.BR";"09.032691.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL (Secundário)";0;"("""")"
"ALEXSANDRA MARASCA DA ROSA DE SANTES";"CHOCOLATES DUDA";"05.792.608/0001-10";"Sociedade Empresária";"30/07/2003";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";85884000;"PR";"Medianeira";"Medianeira";"AV. RIO GRANDE DO SUL, 2287";"(45) 3264-1241";"(45) 3264-1241";"";"";"WWW.CHOCOLATESDUDA.COM.BR";"18.029888.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALICE CAFE LTDA";"ALICE BAR";"06.342.924/0001-52";"Sociedade Empresária";"27/08/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";80320030;"PR";"Curitiba";"Vila Izabel";"RUA PROFESSOR GUIDO STRAUBE, 06";"(41) 3026-3172";"";"";"";"WWW.ALICEBAR.COM";"18.031153.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Francês)"
"ALIMENTAÇÃO SAUDAVEL LTDA";"FEIRA DA FRUTA";"06.637.104/0001-98";"Sociedade Empresária";"16/07/2004";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";90110001;"RS";"Porto Alegre";"Praia de Belas";"AV PRAIA DE BELAS 1181 LOJA 2075";"(XX) 3019-9050";"(XX) 3019-9050";"";"";"WWW.FEIRADAFRUTA.COM.BR";"23.029872.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ALTAVILA E ALMEIDA LTDA ME";"POSTO PONTA VERDE";"07.062.638/0001-04";"Sociedade Empresária";"03/11/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";57035180;"AL";"Maceió";"Ponta Verde";"AV ALVARO OTACILIO 3293 LOJA 01";"(XX) 3231-9797";"";"";"";"";"02.030617.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALUAPANA COM. DE ALIMENTOS E PARTICIPAÇÕES";"PIZZA HUT";"03.971.027/0001-10";"Sociedade Empresária";"14/12/2005";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22640102;"RJ";"Rio de Janeiro";"BARRA DA TIJUCA";"AV. DAS AMÉRICAS, 5000 - LOJAS: 211,212,212-A/B";"(21) 2431-9849";"(21) 2431-9849";"";"";"WWW.PIZZAHUTRIO.COM.BR";"19.030057.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALVES CABRAL BAR E RESTAURANTE LTDA";"CHURRASCARIA SOL LUAR";"04.313.395/0001-33";"Sociedade Empresária";"01/03/2001";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28540000;"RJ";"Cordeiro";"Cordeiro";"AV. PRESIDENTE VARGAS, 105-FUNDOS";"(21) 2551-2130";"";"";"";"";"19.032380.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"AMADEUS ALIMENTOS LTDA.";"AMADUES ";"07.276.427/0001-66";"Sociedade Empresária";"14/03/2005";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22790000;"RJ";"Rio de Janeiro";"Recreio dos Bandeirantes";"AV ALFREDO  BALTHAZAR SILVEIRA  , 1829";"(21) 2480-7262";"";"";"";"";"19.030020.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"AMALIA MARIA FRANTZ";"CONFEITARIA DOCE SABOR";"02.076.864/0001-12";"Sociedade Empresária";"11/09/1997";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";77020032;"TO";"Palmas";"Plano Diretor Sul";"104 SUL AV: NS 04 Nº 44 SALA";"(63) 3225-1376";"(63) 3225-3136";"";"";"";"27.029916.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Francês,Inglês,Espanhol,Alemão"")"
"AMARILDO SCHAKOWOSKI EPP";"RESTAURANTE POLACO";"78.220.142/0001-51";"Sociedade Empresária";"10/04/1984";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";89120000;"SC";"Timbó";"Timbó";"RUA INDAIAL, 524";"(47) 3382-1218";"";"";"";"";"24.030945.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"ANA MARIA FIGUEREDO & CIA LTDA";"CHIQUINHA BAR RESTAURANTE";"06.270.907/0001-57";"Sociedade Empresária";"06/05/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";72980000;"GO";"Pirenópolis";"Pirenópolis";"RUA DO ROSARIO Nº 19 CENTRO";"(62) 3331-3052";"(62) 3331-1245";"";"";"";"09.032507.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ANDERSON FERREIRA DA SILVA";"BAR E RESTAURANTE DO GUIDO";"04.309.124/0001-04";"Sociedade Empresária";"22/02/2001";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";37170000;"MG";"Boa Esperança";"Boa Esperança";"AVENIDA AMETISTA 200 JARDIM ALVORADA";"(35) 3851-7376";"(32) 3851-7376";"";"";"";"11.032673.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"ANEXO 392 BAR E RESTAURANTE LTDA";"ANEXO 392 BAR E RESTAURANTE ";"05.430.819/0001-02";"Sociedade Empresária";"19/03/2003";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28950000;"RJ";"Armação dos Búzios";"Armação dos Búzios";"AV. JOSÉ BENTO RIBEIRO DANTAS, Nº 392";"(22) 2623-6837";"";"";"";"WWW.ANEXOBARBUZIOS.COM.BR";"19.030519.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ANGELITA FOSS";"ANGELITA FOSS";"02.587.528/0001-34";"Sociedade Empresária";"20/06/1998";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95670000;"RS";"Gramado";"Gramado";"RUA MADRE VERÔNICA 30 SALA 02";"(54) 3286-6900";"(54) 3295-1862";"";"";"WWW.BISTROTGRAMADO.COM.BR";"23.029829.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ANGELITA PANATTO MORELLI CAPELETTI";"CAPELETTI RESTAURANTE E CHURRASCARIA";"01.790.878/0001-30";"Sociedade Empresária";"01/05/1997";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";85301410;"PR";"Laranjeiras do Sul";"Centro";"RUA EXPEDICIONARIO JOÃO MARIA, 920";"(42) 3635-2927";"(42) 3635-2927";"angelitacapeletti@hotmail.com";"";"www.restaurantecapeletti.com.br";"18.031239.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"(""Nenhuma das Opções"")"
"ANGELO NICIOLI NETO";"PADARIA D'HOJE";"03.157.314/0001-90";"Sociedade Empresária";"17/05/1999";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";37590000;"MG";"Jacutinga";"Jacutinga";"RUA AMERICO PRADO, 775 - CENTRO ";"";"";"";"";"";"11.030947.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ANIS COMERCIO DE ALIMETNOS LTDA";"ANIS COMERCIO DE ALIMENTOS";"09.121.756/0001-63";"Sociedade Empresária";"11/10/2007";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88339005;"SC";"Balneário Camboriú";"Estados";"AVENIDA SANTA CATARINA,01";"(47) 3367-2028";"(47) 3056-9401";"";"";"";"24.030760.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ANTÔNIA DILENA ARAÚJO ALMEIDA ME";"CASA DE RETIRO Nº SENHORA IMACULADA RAINHA DO SERTÃO";"10.538.513/0001-04";"Sociedade Empresária";"01/12/2008";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63900000;"CE";"Quixadá";"Quixadá";"SERRA DO URUCUM DISTRITO SERRA PRETA";"(88) 3402-2760";"";"";"";"";"06.031368.15.0001-0";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;"(""Espanhol,Italiano"")"
"ANTÔNIO AIRTON LIMA MOURA - ME";"CHURRASCARIA E LANCHONETE TROPICAL";"04.773.141/0001-06";"Sociedade Empresária";"11/12/2001";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63800000;"CE";"Quixeramobim";"Quixeramobim";"RUA TEÓFILO LESSA, 181";"(88) 3441-1422";"";"";"";"";"06.032853.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ANTONIO CLÉBIO DE QUEIROZ FILHO";"RETAURANTE SKINA";"04.853.618/0001-55";"Sociedade Empresária";"12/12/2003";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63900000;"CE";"Quixadá";"Quixadá";"RUA BASILIO PINTO, 513";"(88) 3412-0239";"";"";"";"";"06.031432.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ARAUJO & ALVAREZ EMPREENDIMENTOS TURISTICOS LTDA.- EPP";"MAR & CIA";"03.692.413/0001-72";"Sociedade Empresária";"28/10/2000";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";57935000;"AL";"Paripueira";"Paripueira";"RUA  PROJETADA, 23";"(82) 3293-2031";"";"info@piscinasnaturais.com.br";"cristianemarecia@gmail.com";"WWW.PISCINASNATURAIS.COM.BR";"02.031131.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";800;"(""Inglês,Italiano,Espanhol"")"
"ARIRAMBA RESTAURANTE LTDA";"ARIRAMBA RESTAURANTE";"08.942.684/0001-52";"Sociedade Empresária";"25/08/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";45530000;"BA";"Itacaré";"Centro";"PRAIA DA CONCHA, 115";"(73) 3251-3139";"";"";"";"WWW.CABANARIRAMBA.BLOGSPOT.COM";"05.030408.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"ARLETE ROSALIR VIGARINI BASCHIROTO ME";"BULEBAR CAFE";"85.378.735/0001-06";"Sociedade Empresária";"25/10/2008";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";88047400;"SC";"Florianópolis";"Carianos";"AVENIDA DIOMICIO FREITAS 3393";"(48) 3331-4190";"(48) 3226-7275";"pathybulebar@hotmail.com";"";"";"24.031228.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ARMAZÉM GIUSEPPE LTDA";"ARMAZÉM GIUSEPPE LTDA ";"06.032.853/0001-91";"Sociedade Empresária";"14/12/2003";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95670000;"RS";"Gramado";"Gramado";"RUA GARIBALDI, 23";"(54) 3286-7799";"(54) 3286-7799";"";"";"WWW.CASADIPAOLO.COM.BR";"23.029867.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ASB COMERCIAL DE ALIMENTOS LTDA EPP";"ASB ALIMENTOS";"07.454.729/0001-87";"Sociedade Empresária";"27/07/2007";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70234510;"DF";"Brasília";"Asa Sul";"SCLS Q.204 BLOCO A LOJA 34";"(XX) 3223-9507";"";"";"";"";"07.030545.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ASSIS E BLANSKI ALIMENTOS LTDA";"PIZZA HUT";"09.119.809/0001-01";"Sociedade Empresária";"03/10/2007";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";87013040;"PR";"Maringá";"Zona 01";"AV. SÃO PAULO, 458 LOJA B 40 C";"(44) 3031-6001";"";"";"";"WWW.PIZZAHUT-AB.COM.BR";"18.031031.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ATTLAS DISTRIBUIDORA DE ALIMENTOS LTDA - ME";"RISOTTO MIX";"10.903.338/0001-07";"Sociedade Empresária";"09/06/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78060601;"MT";"Cuiabá";"Jardim das Américas";"AV. BRASÍLIA, 200";"(65) 3642-6480";"";"";"";"";"13.031089.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"AUGUSTO'S E TERRA RESTAURANTE LTDA ME";"KI KILLO GRILL";"01.321.220/0001-80";"Sociedade Empresária";"12/11/1996";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";24030105;"RJ";"Niterói";"Centro";"RUA MAESTRO FELÍCIO TOLEDO, 495 LOJA 02";"(21) 2719-3899";"(21) 2719-3899";"leviterra@ig.com.br";"";"";"19.030452.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";170;"(""Nenhuma das Opções"")"
"AVIAO BAR E LANCHONETE LTDA ME";"AVIAO BAR";"01.593.971/0001-55";"Sociedade Empresária";"13/12/1996";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";37120000;"MG";"Paraguaçu";"Paraguaçu";"AV DR DOMINGOS CONDE, 700";"(35) 3267-1097";"(35) 3267-1210";"aviaobaar@hotmail.com";"";"";"11.031224.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"("""")"
"BANGALO RESTAURANTE E CHURRASCARIA LTDA";"BANGALO RESTAURANTE E CHURRASCARIA LTDA";"06.132.244/0001-04";"Sociedade Empresária";"15/04/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";59092560;"RN";"Natal";"Ponta Negra";"RUA DOUTOR OSVALDO FORTES DO REGO 165";"(XX) 3219-5426";"";"";"";"";"20.030066.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Italiano,Espanhol"")"
"BANNYPEL MODA COURO LTDA";"BANNYPEL";"05.813.990/0001-09";"Sociedade Empresária";"08/08/1992";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";95650000;"RS";"Igrejinha";"Igrejinha";"RS 115 KM 5 NUMERO 5037";"(51) 3545-3074";"(51) 3545-5548";"";"";"WWW.BANNYPEL.COM.BR";"23.030868.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"BAR DO MERCADO LTDA ";"BAR DO MERCADO";"07.837.663/0001-04";"Sociedade Empresária";"01/03/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70360530;"DF";"Brasília";"Asa Sul";"QD. SHCS CR QD. 509 BLOCO C LJ. 29 E 31 ";"(XX) 3443-8482";"";"";"";"WWW.MARCADOMUNICIPALDEBRASILIA.COM.BR";"07.031954.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"BAR E RESTAURANTE DEGRAU LTDA";"RESTAURANTE DEGRAU";"42.145.805/0001-73";"Sociedade Empresária";"14/12/1973";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22440032;"RJ";"Rio de Janeiro";"Leblon";"AV ATAULFO DE PAIVA 517 B PARTE LOJA A";"(21) 2259-3648";"";"";"";"";"19.030284.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"BAR E RESTAURANTE GOKAN LTDA";"GOKAN SUSHI";"05.606.620/0001-92";"Sociedade Empresária";"15/07/2004";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";91340460;"RS";"Porto Alegre";"Boa Vista";"ALAMEDA SEBASTIAO DE BRITO, 24";"(51) 3028-4080";"(51) 3028-4080";"";"";"WWW.GOKAN.COM.BR";"23.030154.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
